MACHINE BRAND,MACHINE MODEL,MACHINE TYPE,MARKET TYPE,ENGINE BRAND,ENGINE MODEL,Piston Mamked # ,Piston Part #s,OH Kit,ENGINE CODE,DESCRIPTION,PART #,QTY PER ENGINE,ACTIVE?,NOTES
CASE,621,WHEEL LOADER,CONSTRUCTION,CUMMINS,6BT 5.9,"7163, 8815, 8816",C3802160,,"TURBO, ROTARY  PUMP, NON-EMISSION, PISTON # 7163, 8815, 8816","PISTON KIT, STD",C3802160,6.0,Y,
CASE,621,WHEEL LOADER,CONSTRUCTION,CUMMINS,6BT 5.9,,,,"TURBO, ROTARY  PUMP, NON-EMISSION, PISTON # 7163, 8815, 8816",PISTON PIN BUSHING,C4891178,6.0,Y,
CASE,621,WHEEL LOADER,CONSTRUCTION,CUMMINS,6BT 5.9,,,,"TURBO, ROTARY  PUMP, NON-EMISSION, PISTON # 7163, 8815, 8816","PISTON RING SET, .50MM",C3802232,6.0,Y,
CASE,621,WHEEL LOADER,CONSTRUCTION,CUMMINS,6BT 5.9,,,,"TURBO, ROTARY  PUMP, NON-EMISSION, PISTON # 7163, 8815, 8816","PISTON RING SET, 1.00MM",C3802234,6.0,Y,
CASE,621,WHEEL LOADER,CONSTRUCTION,CUMMINS,6BT 5.9,,,,"TURBO, ROTARY  PUMP, NON-EMISSION, PISTON # 7163, 8815, 8816","PISTON RING SET, STD",C3802230,6.0,Y,
CASE,621,WHEEL LOADER,CONSTRUCTION,CUMMINS,6BT 5.9,,,,"TURBO, ROTARY  PUMP, NON-EMISSION, PISTON # 7163, 8815, 8816",PUSH ROD,C3904679,12.0,Y,
CASE,621,WHEEL LOADER,CONSTRUCTION,CUMMINS,6BT 5.9,,,,"TURBO, ROTARY  PUMP, NON-EMISSION, PISTON # 7163, 8815, 8816",REAR CRANK SEAL,C3353978,1.0,Y,
CASE,621,WHEEL LOADER,CONSTRUCTION,CUMMINS,6BT 5.9,,,,"TURBO, ROTARY  PUMP, NON-EMISSION, PISTON # 7163, 8815, 8816",REAR SEAL WEAR SLEEVE,C3906081,1.0,Y,
CASE,621,WHEEL LOADER,CONSTRUCTION,CUMMINS,6BT 5.9,,,,"TURBO, ROTARY  PUMP, NON-EMISSION, PISTON # 7163, 8815, 8816","ROCKER ARM, EXHAUST",C3910810,6.0,Y,
CASE,621,WHEEL LOADER,CONSTRUCTION,CUMMINS,6BT 5.9,,,,"TURBO, ROTARY  PUMP, NON-EMISSION, PISTON # 7163, 8815, 8816","ROCKER ARM, INTAKE",C3910811,6.0,Y,
CASE,621,WHEEL LOADER,CONSTRUCTION,CUMMINS,6BT 5.9,,,,"TURBO, ROTARY  PUMP, NON-EMISSION, PISTON # 7163, 8815, 8816","ROD BOLT, FRACTURED RODS",C4891179,12.0,Y,
CASE,621,WHEEL LOADER,CONSTRUCTION,CUMMINS,6BT 5.9,,,,"TURBO, ROTARY  PUMP, NON-EMISSION, PISTON # 7163, 8815, 8816","ROD BOLT, MACHINED RODS",C3900919,12.0,Y,
CASE,621,WHEEL LOADER,CONSTRUCTION,CUMMINS,6BT 5.9,,,,"TURBO, ROTARY  PUMP, NON-EMISSION, PISTON # 7163, 8815, 8816",THERMOSTAT,C3802273,1.0,Y,
CASE,621,WHEEL LOADER,CONSTRUCTION,CUMMINS,6BT 5.9,,,,"TURBO, ROTARY  PUMP, NON-EMISSION, PISTON # 7163, 8815, 8816",VALVE COVER GASKET,C3902666,6.0,Y,
CASE,621,WHEEL LOADER,CONSTRUCTION,CUMMINS,6BT 5.9,,,,"TURBO, ROTARY  PUMP, NON-EMISSION, PISTON # 7163, 8815, 8816",VALVE GUIDE,C3904408,12.0,Y,OAL - 60.5MM
CASE,621,WHEEL LOADER,CONSTRUCTION,CUMMINS,6BT 5.9,,,,"TURBO, ROTARY  PUMP, NON-EMISSION, PISTON # 7163, 8815, 8816",VALVE GUIDE,C3906206,12.0,Y,OAL - 51.75MM
CASE,621,WHEEL LOADER,CONSTRUCTION,CUMMINS,6BT 5.9,,,,"TURBO, ROTARY  PUMP, NON-EMISSION, PISTON # 7163, 8815, 8816",VALVE KEEPER,C3900250,24.0,Y,
CASE,621,WHEEL LOADER,CONSTRUCTION,CUMMINS,6BT 5.9,,,,"TURBO, ROTARY  PUMP, NON-EMISSION, PISTON # 7163, 8815, 8816",VALVE LIFTER,C3925031,12.0,Y,
CASE,621,WHEEL LOADER,CONSTRUCTION,CUMMINS,6BT 5.9,,,,"TURBO, ROTARY  PUMP, NON-EMISSION, PISTON # 7163, 8815, 8816",VALVE SEAL,C3921640,12.0,Y,
CASE,621,WHEEL LOADER,CONSTRUCTION,CUMMINS,6BT 5.9,,,,"TURBO, ROTARY  PUMP, NON-EMISSION, PISTON # 7163, 8815, 8816",VALVE SPRING,C3900276,12.0,Y,
CASE,621,WHEEL LOADER,CONSTRUCTION,CUMMINS,6BT 5.9,,,,"TURBO, ROTARY  PUMP, NON-EMISSION, PISTON # 7163, 8815, 8816",VALVE SPRING RETAINER,C3900299,12.0,Y,
CASE,621,WHEEL LOADER,CONSTRUCTION,CUMMINS,6BT 5.9,,,,"TURBO, ROTARY  PUMP, NON-EMISSION, PISTON # 7163, 8815, 8816",WATER PUMP,C3286277,1.0,Y,INCLUDES MOUNTING SEAL
CASE,621,WHEEL LOADER,CONSTRUCTION,CUMMINS,6BT 5.9,,,,"TURBO, ROTARY  PUMP, NON-EMISSION, PISTON # 7163, 8815, 8816",WATER PUMP SEAL,C3906698,1.0,Y,
