MACHINE BRAND,MACHINE MODEL,MACHINE TYPE,MARKET TYPE,ENGINE BRAND,ENGINE MODEL,Piston Mamked # ,Piston Part #s,OH Kit,ENGINE CODE,DESCRIPTION,PART #,QTY PER ENGINE,ACTIVE?,NOTES
CATERPILLAR,933C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,149-8748,VALVE SPRING,B103-2782,12.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,115-4843,BASIC KIT,BBK3059,1.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,149-8749,BASIC KIT,BBK3062,1.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,115-4843,"BASIC KIT, .50MM PISTONS",BBK3060,1.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,149-8749,"BASIC KIT, .50MM PISTONS",BBK3063,1.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,115-4843,CAM BEARING,B5I-8009,1.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,115-4843,CAM BEARING,B5I-7528,2.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,115-4843,CAM BEARING,B5I-7529,1.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,149-8749,CAM BEARING,B5I-8009,1.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,149-8749,CAM BEARING,B5I-7528,2.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,149-8749,CAM BEARING,B5I-7529,1.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,115-4843,CONNECTING ROD,B103-9680,6.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,149-8749,CONNECTING ROD,B103-9680,6.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,149-8749,CRANKSHAFT,B107-0992,1.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,115-4843,CYLINDER REPAIR SLEEVE,B122-7311,6.0,Y,"UNFINISHED I.D., NOT INCLUDED IN OVERHAUL KIT"
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,149-8749,CYLINDER REPAIR SLEEVE,B122-7311,6.0,Y,"UNFINISHED I.D., NOT INCLUDED IN OVERHAUL KIT"
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,115-4843,EXHAUST VALVE,B233-5470,6.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,149-8749,EXHAUST VALVE,B233-5470,6.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,115-4843,FRONT CRANK SEAL,B239-8429,1.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,149-8749,FRONT CRANK SEAL,B239-8429,1.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,115-4843,FULL GASKET SET,B107-3732,1.0,Y,CRANK SEALS ARE INCLUDED IN THIS SET
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,149-8749,FULL GASKET SET,B107-3732,1.0,Y,CRANK SEALS ARE INCLUDED IN THIS SET
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,115-4843,GLOW PLUG,B107-3659,6.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,149-8749,GLOW PLUG,B107-3659,6.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,115-4843,HEAD GASKET,B107-0979,1.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,149-8749,HEAD GASKET,B107-0979,1.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,115-4843,INTAKE VALVE,B233-5469,6.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,149-8749,INTAKE VALVE,B233-5469,6.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,115-4843,"MAIN BEARING SET, .25MM",B114-5609,1.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,149-8749,"MAIN BEARING SET, .25MM",B114-5609,1.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,115-4843,"MAIN BEARING SET, .50MM",B114-5610,1.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,149-8749,"MAIN BEARING SET, .50MM",B114-5610,1.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,115-4843,"MAIN BEARING SET, .75MM",B114-5611,1.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,149-8749,"MAIN BEARING SET, .75MM",B114-5611,1.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,115-4843,"MAIN BEARING SET, STD",B107-0991,1.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,149-8749,"MAIN BEARING SET, STD",B107-0991,1.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,115-4843,OIL PUMP,B315-4678,1.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,149-8749,OIL PUMP,B315-4678,1.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,115-4843,PIN BUSHING,B128-2958,6.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,149-8749,PIN BUSHING,B128-2958,6.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,B107-8256,,115-4843,"PISTON KIT, .50MM",B107-8256,6.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,B128-3295B,,149-8749,"PISTON KIT, .50MM",B128-3295B,6.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,B107-0984,,115-4843,"PISTON KIT, STD",B107-0984,6.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,B128-3295,,149-8749,"PISTON KIT, STD",B128-3295,6.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,115-4843,"PISTON RING SET, .50MM",B103-2859,6.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,149-8749,"PISTON RING SET, .50MM",B103-2859,6.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,115-4843,"PISTON RING SET, STD",B103-2857,6.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,149-8749,"PISTON RING SET, STD",B103-2857,6.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,115-4843,REAR CRANK SEAL,B117-5015,1.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,149-8749,REAR CRANK SEAL,B117-5015,1.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,115-4843,"ROD BEARING SET, .25MM",B103-9684,1.0,Y,SET OF 6 PAIRS
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,149-8749,"ROD BEARING SET, .25MM",B103-9684,1.0,Y,SET OF 6 PAIRS
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,115-4843,"ROD BEARING SET, .50MM",B103-9685,1.0,Y,SET OF 6 PAIRS
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,149-8749,"ROD BEARING SET, .50MM",B103-9685,1.0,Y,SET OF 6 PAIRS
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,115-4843,"ROD BEARING SET, .75MM",B103-9686,1.0,Y,SET OF 6 PAIRS
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,149-8749,"ROD BEARING SET, .75MM",B103-9686,1.0,Y,SET OF 6 PAIRS
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,115-4843,"ROD BEARING SET, STD",B103-9683,1.0,Y,SET OF 6 PAIRS
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,149-8749,"ROD BEARING SET, STD",B103-9683,1.0,Y,SET OF 6 PAIRS
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,115-4843,THRUST WASHER SET,B103-9288,1.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,149-8749,THRUST WASHER SET,B103-9288,1.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,115-4843,VALVE COVER GASKET ,B107-0969,1.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,149-8749,VALVE COVER GASKET ,B107-0969,1.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,115-4843,VALVE GUIDE,B103-9247,12.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,149-8749,VALVE GUIDE,B103-9247,12.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,115-4843,VALVE LOCK,B5I-7719,24.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,149-8749,VALVE LOCK,B5I-7719,24.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,115-4843,VALVE SPRING,B103-2782,12.0,Y,
CATERPILLAR,939C,TRACK LOADER,CONSTRUCTION,CATERPILLAR,3046,,,,149-8749,VALVE SPRING,B103-2782,12.0,Y,
CATERPILLAR,D3C,DOZER,CONSTRUCTION,CATERPILLAR,3046,,,,107-2350,BASIC KIT,BBK3053,1.0,Y,
